Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Deadlift (Barbell)",3,175.0,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Deadlift (Barbell)",4,185.00000000000003,6,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Sit Up",1,20.0,15,0,0,"",,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Sit Up",2,20.0,15,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Sit Up",3,20.0,15,0,0,,,
2021-10-05 18:10:24,"Deadlift Day",1h 11m,"Sit Up",4,20.0,15,0,0,,,
2021-10-06 21:16:00,"Climbing + Back",19m,"Pull Up",1,0,8,0,0,"","",
2021-10-06 21:16:00,"Climbing + Back",19m,"Pull Up",2,0,6,0,0,,,
2021-10-06 21:16:00,"Climbing + Back",19m,"Pull Up",3,0,5,0,0,,,
2021-10-06 21:16:00,"Climbing + Back",19m,"Pull Up",4,0,4,0,0,,,
2021-10-06 21:16:00,"Climbing + Back",19m,"Pull Up",5,0,3,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",1,74.99999999999999,13,0,0,"","",
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",3,95.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",4,95.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",5,95.0,0,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Overhead Press (Barbell)",6,85.0,4,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Front Squat (Barbell)",1,115.0,6,0,0,"",,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Front Squat (Barbell)",2,135.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Front Squat (Barbell)",3,145.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Front Squat (Barbell)",4,155.0,3,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Front Squat (Barbell)",5,155.0,3,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bench Press (Barbell)",1,115.0,8,0,0,"",,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bench Press (Barbell)",2,125.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bench Press (Barbell)",3,135.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bench Press (Barbell)",4,135.0,3,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bench Press (Barbell)",5,125.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",1,95.0,15,0,0,"",,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",2,115.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",3,115.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",4,115.0,6,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",5,125.00000000000001,5,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Bent Over Row (Barbell)",6,125.00000000000001,3,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Sit Up",1,20.0,15,0,0,"",,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Sit Up",2,20.0,15,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Sit Up",3,20.0,15,0,0,,,
2021-10-08 14:57:17,"Squat Day",1h 44m,"Sit Up",4,20.0,15,0,0,,,
2021-10-09 10:47:04,"Climbing",1h 27m,"Climbing",1,0,0,0,87,"","",
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Bench Press (Barbell)",1,125.0,7,0,0,"","",
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Bench Press (Barbell)",2,125.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Bench Press (Barbell)",3,125.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Bench Press (Barbell)",4,135.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Bench Press (Barbell)",5,135.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Overhead Press (Barbell)",1,85.0,6,0,0,"",,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Overhead Press (Barbell)",2,85.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Overhead Press (Barbell)",3,85.0,0,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Overhead Press (Barbell)",4,74.99999999999999,5,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Overhead Press (Barbell)",5,74.99999999999999,7,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Deadlift (Barbell)",1,165.0,6,0,0,"",,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Deadlift (Barbell)",2,175.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Deadlift (Barbell)",3,175.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Deadlift (Barbell)",4,175.0,6,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Sit Up",1,20.0,15,0,0,"",,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Sit Up",2,20.0,15,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Sit Up",3,20.0,15,0,0,,,
2021-10-10 15:18:27,"Deadlift Day",1h 9m,"Sit Up",4,20.0,15,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",1,115.0,12,0,0,"","",
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",2,125.0,6,0,0,,,
2021-10-11 20:10:35,"Squat Day",1h 3m,"Bent Over Row (Barbell)",3,135.0,6,0,0,,,
