Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-15 18:25:01;"kod Ivana 9";"Bench Press (Barbell)";4;105;lbs;5;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Overhead Press (Barbell)";2;75;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Overhead Press (Barbell)";3;75;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Overhead Press (Barbell)";4;75;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bent Over Row (Barbell)";1;95;lbs;7;;;;0;"";;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bent Over Row (Barbell)";2;95;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bent Over Row (Barbell)";3;105;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Bent Over Row (Barbell)";4;115;lbs;6;;;;0;;;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 16m
2022-03-15 18:25:01;"kod Ivana 9";"Squat (Barbell)";2;0;lbs;6;;;;0;;;1h 16m
2022-03-18 17:51:58;"kod Ivana 10";"Bench Press (Barbell)";1;85;lbs;6;;;;0;"";"";1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bench Press (Barbell)";2;95;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bench Press (Barbell)";3;105;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bench Press (Barbell)";4;115;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Overhead Press (Barbell)";2;85;lbs;5;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Overhead Press (Barbell)";3;75;lbs;5;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Overhead Press (Barbell)";4;75;lbs;5;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bent Over Row (Barbell)";1;75;lbs;5;;;;0;"";;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bent Over Row (Barbell)";2;85;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bent Over Row (Barbell)";3;85;lbs;5;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Bent Over Row (Barbell)";4;95;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Squat (Barbell)";2;0;lbs;5;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Squat (Barbell)";3;0;lbs;6;;;;0;;;1h 29m
2022-03-18 17:51:58;"kod Ivana 10";"Squat (Barbell)";4;0;lbs;4;;;;0;;;1h 29m
2022-03-28 17:03:34;"kod Ivana 11";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bench Press (Barbell)";2;105;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bench Press (Barbell)";3;115;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bench Press (Barbell)";4;125;lbs;2;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Overhead Press (Barbell)";1;75;lbs;6;;;;0;"";;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Overhead Press (Barbell)";2;75;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Overhead Press (Barbell)";3;85;lbs;4;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Overhead Press (Barbell)";4;85;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bent Over Row (Barbell)";1;105;lbs;6;;;;0;"";;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bent Over Row (Barbell)";2;105;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bent Over Row (Barbell)";3;85;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Bent Over Row (Barbell)";4;75;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Squat (Barbell)";2;0;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Squat (Barbell)";3;0;lbs;6;;;;0;;;1h 16m
2022-03-28 17:03:34;"kod Ivana 11";"Squat (Barbell)";4;0;lbs;6;;;;0;;;1h 16m
2022-03-31 16:38:31;"kod Ivana 12";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bench Press (Barbell)";2;105;lbs;6;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bench Press (Barbell)";3;115;lbs;3;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bench Press (Barbell)";4;115;lbs;3;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Overhead Press (Barbell)";1;85;lbs;6;;;;0;"";;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Overhead Press (Barbell)";2;85;lbs;6;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Overhead Press (Barbell)";3;85;lbs;6;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Overhead Press (Barbell)";4;85;lbs;6;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bent Over Row (Barbell)";1;75;lbs;6;;;;0;"";;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bent Over Row (Barbell)";2;75;lbs;16;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bent Over Row (Barbell)";3;85;lbs;10;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Bent Over Row (Barbell)";4;95;lbs;9;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Deadlift (Barbell)";1;95;lbs;3;;;;0;"";;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Deadlift (Barbell)";2;75;lbs;1;;;;0;;;1h 17m
2022-03-31 16:38:31;"kod Ivana 12";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 17m
2022-04-04 18:37:42;"kod Ivana 13";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Bench Press (Barbell)";2;105;lbs;6;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Bench Press (Barbell)";3;115;lbs;6;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Bench Press (Barbell)";4;125;lbs;4;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Overhead Press (Barbell)";1;85;lbs;6;;;;0;"";;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Overhead Press (Barbell)";2;85;lbs;6;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Overhead Press (Barbell)";3;85;lbs;7;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Overhead Press (Barbell)";4;95;lbs;4;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Squat (Barbell)";1;0;lbs;6;;;;0;"";;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Squat (Barbell)";2;45;lbs;6;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Squat (Barbell)";3;45;lbs;6;;;;0;;;1h 20m
2022-04-04 18:37:42;"kod Ivana 13";"Squat (Barbell)";4;45;lbs;6;;;;0;;;1h 20m
2022-04-08 19:10:24;"kod Ivana 14";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bench Press (Barbell)";2;105;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bench Press (Barbell)";3;115;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bench Press (Barbell)";4;125;lbs;4;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Overhead Press (Barbell)";1;85;lbs;6;;;;0;"";;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Overhead Press (Barbell)";2;85;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Overhead Press (Barbell)";3;85;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Overhead Press (Barbell)";4;85;lbs;5;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bent Over Row (Barbell)";1;75;lbs;6;;;;0;"";;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bent Over Row (Barbell)";2;85;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bent Over Row (Barbell)";3;95;lbs;6;;;;0;;;1h 27m
2022-04-08 19:10:24;"kod Ivana 14";"Bent Over Row (Barbell)";4;105;lbs;6;;;;0;;;1h 27m
2022-04-14 17:29:57;"kod Ivana 15";"Bench Press (Barbell)";1;95;lbs;6;;;;0;"";"";1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bench Press (Barbell)";2;115;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bench Press (Barbell)";3;115;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bench Press (Barbell)";4;115;lbs;5;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Overhead Press (Barbell)";1;85;lbs;6;;;;0;"";;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Overhead Press (Barbell)";2;95;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Overhead Press (Barbell)";3;95;lbs;5;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Overhead Press (Barbell)";4;95;lbs;4;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bent Over Row (Barbell)";1;95;lbs;6;;;;0;"";;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bent Over Row (Barbell)";2;95;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bent Over Row (Barbell)";3;95;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Bent Over Row (Barbell)";4;105;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Squat (Barbell)";1;45;lbs;6;;;;0;"";;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Squat (Barbell)";2;55;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Squat (Barbell)";3;65;lbs;6;;;;0;;;1h 11m
2022-04-14 17:29:57;"kod Ivana 15";"Squat (Barbell)";4;65;lbs;5;;;;0;;;1h 11m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bench Press (Barbell)";1;99.21;lbs;6;;;;0;"";"";1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bench Press (Barbell)";2;105.82;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bench Press (Barbell)";3;110.23;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bench Press (Barbell)";4;114.64;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Overhead Press (Barbell)";1;88.18;lbs;6;;;;0;"";;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Overhead Press (Barbell)";2;88.18;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Overhead Press (Barbell)";3;88.18;lbs;4;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Overhead Press (Barbell)";4;82.67;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bent Over Row (Barbell)";1;110.23;lbs;6;;;;0;"";;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bent Over Row (Barbell)";2;115.74;lbs;6;;;;0;;;1h 13m
2022-04-26 04:26:28;"Hrvatska s Vinkom 1 (16)";"Bent Over Row (Barbell)";3;121.25;lbs;6;;;;0;;;1h 13m
